antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Bread'}),frozenset({'Honey'}),0.4073275862068966,0.41594827586206895,0.20043103448275862,0.49206349206349204,1.1829920223702608,0.031003827288941743,1.1498518318965518
frozenset({'Honey'}),frozenset({'Bread'}),0.41594827586206895,0.4073275862068966,0.20043103448275862,0.48186528497409326,1.1829920223702606,0.031003827288941743,1.1438577586206895
frozenset({'Bread'}),frozenset({'Bacon'}),0.4073275862068966,0.43103448275862066,0.2025862068965517,0.49735449735449727,1.1538624338624337,0.027013971462544584,1.1319419237749544
frozenset({'Bacon'}),frozenset({'Bread'}),0.43103448275862066,0.4073275862068966,0.2025862068965517,0.47000000000000003,1.153862433862434,0.027013971462544584,1.1182498373454781
frozenset({'Bread'}),frozenset({'Toothpaste'}),0.4073275862068966,0.38362068965517243,0.17456896551724138,0.42857142857142855,1.117174959871589,0.01830967598097502,1.0786637931034484
frozenset({'Toothpaste'}),frozenset({'Bread'}),0.38362068965517243,0.4073275862068966,0.17456896551724138,0.4550561797752809,1.117174959871589,0.01830967598097502,1.0875844294347672
frozenset({'Bread'}),frozenset({'Banana'}),0.4073275862068966,0.4482758620689655,0.21120689655172414,0.5185185185185185,1.1566951566951567,0.028611771700356697,1.145888594164456
frozenset({'Banana'}),frozenset({'Bread'}),0.4482758620689655,0.4073275862068966,0.21120689655172414,0.47115384615384615,1.1566951566951567,0.028611771700356697,1.1206896551724137
frozenset({'Apple'}),frozenset({'Bread'}),0.4051724137931034,0.4073275862068966,0.17456896551724138,0.4308510638297873,1.0577507598784195,0.009531064209274687,1.0413309700290043
frozenset({'Bread'}),frozenset({'Apple'}),0.4073275862068966,0.4051724137931034,0.17456896551724138,0.42857142857142855,1.0577507598784195,0.009531064209274687,1.0409482758620692
frozenset({'Hazelnut'}),frozenset({'Bread'}),0.4202586206896552,0.4073275862068966,0.1875,0.4461538461538461,1.0953194953194951,0.016317070451843024,1.070102969348659
frozenset({'Bread'}),frozenset({'Hazelnut'}),0.4073275862068966,0.4202586206896552,0.1875,0.4603174603174603,1.0953194953194951,0.016317070451843024,1.0742266734279915
frozenset({'Bread'}),frozenset({'Cheese'}),0.4073275862068966,0.44396551724137934,0.21551724137931033,0.5291005291005291,1.1917604150613859,0.03467783888228296,1.1807923285548236
frozenset({'Cheese'}),frozenset({'Bread'}),0.44396551724137934,0.4073275862068966,0.21551724137931033,0.48543689320388345,1.1917604150613859,0.03467783888228296,1.1517973324658426
frozenset({'Bread'}),frozenset({'Meat'}),0.4073275862068966,0.3879310344827586,0.17025862068965517,0.41798941798941797,1.0774838330393885,0.012243608799048733,1.0516457680250781
